idx,url,label,success
0,https://qrco.de/JABgNaFsAAw2fwSvM3S3gx7oQIqeLRBK,1,True
1,http://awin1.com/cread.php?awinmid=10178&awinaffid=346289&clickref&p=https://qrco.de/server-side,1,True
2,https://www.dropbox.com/scl/fi/llqgt0c8t9gg1y4spl880/ADI_EA_FINAL.docx?rlkey=mhb1khiprij18ixl4dsd5xo6g&st=4ejrvttu&dl=0,1,True
3,https://docs.google.com/presentation/d/e/2PACX-1vRgWEDOvXaO8OTnTp2sIU7o8NoQyG8RSZESDGax40YD_THxwOs180cpy_MQyL3Rn5_muAoT_Jtn23dc/pub?start=false&amp;loop=false&amp;delayms=3000,1,True
4,https://l.wl.co/l?u=https://ungu.in/ehu4ert5h5e4ryh5hhb,1,True
5,https://ppt.cc/firTBx,1,True
6,http://loggm.ukit.me/,1,True
7,https://bafkreifu7hfh6zubgtt2drpxtc63dqpexugbinzv2nnryrqljkq2c65qn4.ipfs.dweb.link/,1,False
8,https://dhl-suivis.com/app/index.php?userid=&amp;amp;ue=,1,False
9,https://aoxnprtll.web.app/,1,True
